步骤,操作说明,访问节点,栈内容（从底到顶）
0,"初始化：栈为空；将根结点 1 压入栈中","","[1]"
1,"从栈顶弹出结点 1，访问 1；然后将 1 的右孩子 3 压栈，再将左孩子 2 压栈","1","[3, 2]"
2,"从栈顶弹出结点 2，访问 2；然后将 2 的右孩子 5 压栈，再将左孩子 4 压栈","2","[3, 5, 4]"
3,"从栈顶弹出结点 4，访问 4；4 没有左右孩子，不再压栈","4","[3, 5]"
4,"从栈顶弹出结点 5，访问 5；5 只有左孩子 7，将 7 压栈（无右孩子无需处理）","5","[3, 7]"
5,"从栈顶弹出结点 7，访问 7；7 没有左右孩子，不再压栈","7","[3]"
6,"从栈顶弹出结点 3，访问 3；3 只有右孩子 6，将 6 压栈","3","[6]"
7,"从栈顶弹出结点 6，访问 6；将 6 的右孩子 9 压栈，再将左孩子 8 压栈","6","[9, 8]"
8,"从栈顶弹出结点 8，访问 8；8 没有左右孩子，不再压栈","8","[9]"
9,"从栈顶弹出结点 9，访问 9；9 没有左右孩子，不再压栈","9","[]"
